Texas Education Agency,,,,,,,,,,,,,,
2021-22 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,76%,73%,75%,*,72%,79%,-,-,-,*,50%,69%,57%
,2021,67%,64%,58%,*,51%,68%,*,*,-,71%,16%,49%,27%
At Meets Grade Level or Above,2022,50%,48%,49%,*,46%,52%,-,-,-,*,25%,38%,26%
,2021,38%,36%,33%,*,28%,44%,*,*,-,43%,8%,26%,14%
At Masters Grade Level,2022,29%,28%,28%,*,24%,32%,-,-,-,*,13%,18%,13%
,2021,19%,17%,11%,*,10%,13%,*,*,-,29%,0%,7%,0%
Grade 3 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,70%,66%,63%,*,58%,73%,-,-,-,*,38%,52%,65%
,2021,61%,55%,56%,*,49%,66%,*,*,-,71%,15%,49%,45%
At Meets Grade Level or Above,2022,42%,38%,30%,*,28%,35%,-,-,-,*,22%,21%,22%
,2021,30%,26%,26%,*,17%,40%,*,*,-,43%,4%,23%,18%
At Masters Grade Level,2022,20%,17%,9%,*,7%,12%,-,-,-,*,6%,6%,9%
,2021,14%,12%,13%,*,10%,18%,*,*,-,29%,0%,9%,5%
Grade 4 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,76%,74%,70%,80%,69%,71%,*,*,-,60%,37%,64%,35%
,2021,62%,59%,53%,40%,47%,66%,-,*,-,67%,33%,45%,33%
At Meets Grade Level or Above,2022,53%,51%,47%,60%,41%,58%,*,*,-,40%,17%,38%,17%
,2021,36%,33%,29%,40%,22%,41%,-,*,-,50%,17%,23%,13%
At Masters Grade Level,2022,28%,25%,19%,20%,15%,28%,*,*,-,20%,7%,14%,4%
,2021,17%,15%,12%,0%,8%,23%,-,*,-,17%,4%,7%,13%
Grade 4 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,68%,64%,64%,60%,57%,81%,*,*,-,40%,33%,58%,57%
,2021,58%,51%,52%,40%,46%,62%,-,*,-,67%,32%,41%,47%
At Meets Grade Level or Above,2022,42%,37%,32%,20%,27%,42%,*,*,-,40%,10%,27%,22%
,2021,35%,29%,30%,20%,23%,48%,-,*,-,33%,16%,21%,27%
At Masters Grade Level,2022,22%,19%,16%,20%,12%,26%,*,*,-,20%,3%,11%,9%
,2021,21%,16%,17%,0%,13%,26%,-,*,-,17%,4%,11%,13%
Grade 5 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,80%,78%,75%,75%,68%,87%,-,*,-,100%,52%,64%,40%
,2021,72%,69%,66%,40%,63%,73%,-,*,-,71%,23%,58%,64%
At Meets Grade Level or Above,2022,57%,54%,52%,50%,45%,65%,-,*,-,78%,24%,42%,20%
,2021,45%,42%,41%,20%,36%,51%,-,*,-,43%,7%,31%,29%
At Masters Grade Level,2022,36%,33%,32%,25%,26%,42%,-,*,-,67%,7%,26%,7%
,2021,29%,27%,25%,0%,21%,34%,-,*,-,14%,0%,16%,7%
Grade 5 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,76%,73%,76%,50%,72%,83%,-,*,-,100%,55%,68%,60%
,2021,69%,64%,72%,20%,70%,79%,-,*,-,57%,53%,61%,75%
At Meets Grade Level or Above,2022,47%,43%,44%,25%,37%,58%,-,*,-,67%,28%,35%,27%
,2021,43%,38%,41%,20%,37%,48%,-,*,-,43%,20%,32%,25%
At Masters Grade Level,2022,24%,22%,23%,13%,18%,32%,-,*,-,44%,7%,15%,13%
,2021,24%,20%,21%,20%,17%,27%,-,*,-,14%,0%,16%,7%
Grade 5 Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,65%,62%,66%,63%,60%,79%,-,*,-,78%,48%,59%,50%
,2021,61%,56%,58%,20%,55%,65%,-,*,-,57%,33%,49%,29%
At Meets Grade Level or Above,2022,38%,34%,38%,50%,30%,49%,-,*,-,67%,24%,30%,21%
,2021,30%,26%,29%,0%,25%,40%,-,*,-,14%,10%,19%,7%
At Masters Grade Level,2022,17%,15%,17%,0%,12%,29%,-,*,-,33%,3%,10%,21%
,2021,12%,9%,10%,0%,8%,15%,-,*,-,0%,0%,6%,0%
Grade 6 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,69%,68%,69%,60%,65%,79%,-,*,-,83%,18%,57%,47%
,2021,62%,59%,53%,43%,51%,58%,*,*,*,*,25%,38%,22%
At Meets Grade Level or Above,2022,42%,41%,44%,60%,39%,54%,-,*,-,67%,9%,30%,13%
,2021,32%,29%,23%,14%,23%,25%,*,*,*,*,17%,14%,6%
At Masters Grade Level,2022,23%,21%,25%,40%,22%,33%,-,*,-,17%,3%,16%,3%
,2021,14%,13%,7%,0%,5%,10%,*,*,*,*,0%,3%,6%
Grade 6 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,72%,69%,68%,80%,65%,73%,-,*,-,67%,27%,55%,50%
,2021,67%,61%,57%,43%,49%,72%,*,*,*,*,43%,42%,44%
At Meets Grade Level or Above,2022,38%,34%,26%,40%,22%,35%,-,*,-,17%,3%,16%,10%
,2021,35%,29%,23%,14%,20%,30%,*,*,*,*,14%,13%,17%
At Masters Grade Level,2022,16%,13%,6%,0%,6%,8%,-,*,-,0%,3%,3%,0%
,2021,15%,11%,4%,0%,4%,6%,*,*,*,*,0%,2%,6%
Grade 7 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,79%,77%,79%,100%,76%,83%,-,*,*,80%,39%,69%,73%
,2021,69%,66%,64%,*,56%,77%,*,*,*,80%,38%,57%,48%
At Meets Grade Level or Above,2022,55%,52%,54%,75%,50%,62%,-,*,*,80%,27%,41%,36%
,2021,44%,42%,41%,*,34%,54%,*,*,*,60%,22%,31%,22%
At Masters Grade Level,2022,36%,34%,30%,25%,26%,39%,-,*,*,20%,12%,16%,23%
,2021,25%,23%,21%,*,18%,27%,*,*,*,40%,0%,18%,9%
Grade 7 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,60%,54%,61%,88%,56%,73%,-,*,*,40%,48%,44%,59%
,2021,55%,48%,59%,*,53%,71%,*,*,*,80%,28%,50%,52%
At Meets Grade Level or Above,2022,30%,26%,33%,38%,31%,39%,-,*,*,40%,23%,17%,18%
,2021,26%,22%,28%,*,24%,36%,*,*,*,60%,16%,21%,13%
At Masters Grade Level,2022,13%,10%,13%,13%,9%,20%,-,*,*,20%,3%,3%,5%
,2021,11%,9%,11%,*,9%,13%,*,*,*,40%,9%,8%,4%
Grade 8 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,82%,80%,80%,*,76%,86%,*,-,*,100%,46%,74%,77%
,2021,73%,70%,66%,*,64%,72%,-,*,*,50%,25%,49%,52%
At Meets Grade Level or Above,2022,57%,55%,54%,*,49%,67%,*,-,*,40%,26%,40%,38%
,2021,45%,43%,34%,*,29%,46%,-,*,*,50%,17%,20%,22%
At Masters Grade Level,2022,37%,35%,36%,*,30%,46%,*,-,*,40%,11%,25%,27%
,2021,21%,19%,15%,*,12%,23%,-,*,*,50%,4%,7%,9%
Grade 8 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,70%,65%,69%,*,63%,79%,*,-,-,100%,35%,63%,54%
,2021,61%,54%,62%,*,60%,72%,-,*,*,*,46%,51%,70%
At Meets Grade Level or Above,2022,39%,32%,35%,*,28%,46%,*,-,-,100%,21%,25%,27%
,2021,36%,29%,30%,*,27%,40%,-,*,*,*,25%,22%,35%
At Masters Grade Level,2022,14%,9%,10%,*,8%,14%,*,-,-,20%,12%,7%,15%
,2021,10%,7%,4%,*,2%,11%,-,*,*,*,0%,2%,4%
Grade 8 Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,73%,71%,66%,*,60%,79%,*,-,*,100%,31%,53%,52%
,2021,67%,64%,61%,*,55%,76%,-,*,*,*,28%,47%,46%
At Meets Grade Level or Above,2022,44%,41%,35%,*,30%,45%,*,-,*,60%,14%,23%,30%
,2021,42%,39%,31%,*,23%,52%,-,*,*,*,16%,18%,17%
At Masters Grade Level,2022,23%,21%,16%,*,12%,24%,*,-,*,20%,6%,10%,15%
,2021,23%,21%,13%,*,7%,25%,-,*,*,*,8%,7%,8%
Grade 8 Social Studies,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,59%,58%,57%,*,52%,67%,*,-,*,80%,31%,45%,41%
,2021,56%,54%,56%,*,51%,73%,-,60%,*,50%,24%,41%,50%
At Meets Grade Level or Above,2022,30%,28%,27%,*,19%,40%,*,-,*,60%,17%,18%,15%
,2021,28%,26%,24%,*,17%,42%,-,40%,*,50%,16%,12%,17%
At Masters Grade Level,2022,17%,15%,17%,*,13%,23%,*,-,*,40%,3%,11%,7%
,2021,13%,12%,10%,*,5%,21%,-,20%,*,17%,8%,4%,0%
End of Course English I,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,64%,64%,62%,50%,58%,72%,*,*,*,60%,20%,51%,33%
,2021,66%,65%,65%,50%,60%,79%,*,*,*,80%,30%,54%,35%
At Meets Grade Level or Above,2022,46%,46%,39%,17%,36%,48%,*,*,*,50%,10%,28%,17%
,2021,49%,48%,45%,50%,38%,61%,*,*,*,60%,17%,32%,19%
At Masters Grade Level,2022,10%,10%,6%,17%,3%,13%,*,*,*,30%,0%,2%,2%
,2021,12%,11%,7%,0%,4%,14%,*,*,*,0%,0%,5%,0%
End of Course English II,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,71%,71%,68%,60%,64%,79%,*,*,*,71%,30%,58%,35%
,2021,70%,71%,74%,67%,70%,83%,-,*,*,*,43%,68%,40%
At Meets Grade Level or Above,2022,54%,54%,51%,20%,47%,61%,*,*,*,71%,21%,42%,23%
,2021,57%,56%,52%,33%,47%,64%,-,*,*,*,11%,41%,20%
At Masters Grade Level,2022,9%,7%,5%,0%,5%,5%,*,*,*,0%,2%,2%,0%
,2021,11%,10%,3%,0%,3%,3%,-,*,*,*,0%,3%,0%
End of Course Algebra I,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,74%,73%,77%,80%,76%,79%,-,*,*,*,38%,71%,67%
,2021,72%,65%,74%,80%,70%,79%,*,*,*,100%,56%,66%,67%
At Meets Grade Level or Above,2022,42%,37%,46%,40%,44%,51%,-,*,*,*,17%,33%,33%
,2021,40%,32%,35%,20%,30%,42%,*,*,*,67%,24%,27%,29%
At Masters Grade Level,2022,26%,22%,26%,20%,21%,37%,-,*,*,*,4%,17%,16%
,2021,23%,17%,16%,0%,14%,20%,*,*,*,50%,11%,10%,17%
End of Course Biology,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,82%,82%,81%,100%,77%,90%,-,*,*,67%,61%,73%,57%
,2021,81%,80%,78%,50%,75%,86%,*,*,*,100%,55%,67%,62%
At Meets Grade Level or Above,2022,54%,53%,40%,60%,32%,57%,-,*,*,56%,12%,26%,14%
,2021,54%,51%,51%,17%,44%,67%,*,*,*,80%,30%,37%,19%
At Masters Grade Level,2022,21%,21%,11%,0%,5%,24%,-,*,*,44%,6%,5%,5%
,2021,21%,20%,13%,0%,7%,26%,*,*,*,20%,5%,8%,0%
End of Course U.S. History,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,89%,89%,90%,*,89%,93%,-,*,-,100%,60%,89%,64%
,2021,88%,88%,92%,*,89%,97%,-,*,*,100%,46%,88%,67%
At Meets Grade Level or Above,2022,67%,67%,62%,*,56%,75%,-,*,-,100%,40%,54%,27%
,2021,69%,68%,67%,*,63%,77%,-,*,*,80%,23%,58%,11%
At Masters Grade Level,2022,41%,41%,25%,*,22%,34%,-,*,-,40%,16%,18%,0%
,2021,42%,41%,37%,*,31%,51%,-,*,*,40%,12%,32%,0%
All Grades All Subjects,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,73%,71%,71%,71%,67%,79%,88%,89%,90%,79%,39%,62%,53%
,2021,67%,63%,64%,47%,60%,74%,54%,81%,93%,71%,35%,53%,47%
At Meets Grade Level or Above,2022,47%,44%,42%,40%,37%,52%,50%,67%,70%,61%,19%,31%,22%
,2021,41%,37%,36%,21%,31%,48%,38%,49%,60%,50%,17%,26%,18%
At Masters Grade Level,2022,23%,21%,18%,14%,14%,25%,0%,31%,40%,32%,6%,11%,9%
,2021,18%,16%,13%,3%,10%,20%,8%,13%,27%,24%,3%,8%,5%
All Grades ELA/Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,74%,73%,71%,74%,67%,79%,*,87%,*,80%,35%,62%,47%
,2021,68%,65%,63%,47%,59%,73%,60%,78%,80%,71%,29%,53%,42%
At Meets Grade Level or Above,2022,52%,50%,48%,47%,44%,58%,*,73%,*,64%,19%,37%,23%
,2021,44%,42%,38%,29%,33%,50%,40%,50%,80%,52%,15%,28%,19%
At Masters Grade Level,2022,25%,23%,21%,21%,17%,28%,*,27%,*,34%,6%,14%,9%
,2021,18%,16%,12%,0%,10%,18%,20%,6%,40%,24%,1%,8%,5%
All Grades Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,71%,68%,69%,68%,65%,78%,*,83%,*,76%,39%,59%,59%
,2021,65%,59%,63%,45%,59%,73%,60%,88%,*,72%,41%,53%,59%
At Meets Grade Level or Above,2022,41%,36%,36%,29%,32%,44%,*,58%,*,51%,17%,25%,23%
,2021,37%,31%,32%,16%,27%,42%,40%,50%,*,49%,18%,23%,24%
At Masters Grade Level,2022,20%,16%,15%,11%,12%,21%,*,42%,*,24%,5%,9%,10%
,2021,17%,13%,12%,3%,10%,18%,0%,13%,*,23%,4%,9%,8%
All Grades Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,74%,73%,72%,71%,67%,83%,*,100%,*,78%,49%,63%,54%
,2021,70%,67%,67%,38%,63%,76%,*,83%,*,75%,41%,55%,45%
At Meets Grade Level or Above,2022,46%,44%,38%,50%,31%,51%,*,80%,*,61%,16%,26%,20%
,2021,43%,39%,38%,8%,31%,53%,*,67%,*,50%,20%,26%,14%
At Masters Grade Level,2022,20%,19%,14%,0%,9%,25%,*,40%,*,35%,5%,8%,11%
,2021,19%,17%,12%,0%,7%,22%,*,33%,*,25%,4%,7%,3%
All Grades Social Studies,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,74%,74%,73%,*,70%,77%,*,*,*,90%,43%,66%,47%
,2021,73%,73%,76%,71%,71%,88%,-,67%,*,73%,35%,63%,55%
At Meets Grade Level or Above,2022,49%,48%,43%,*,37%,54%,*,*,*,80%,27%,35%,18%
,2021,49%,49%,48%,43%,42%,63%,-,33%,*,64%,20%,34%,15%
At Masters Grade Level,2022,29%,29%,21%,*,17%,28%,*,*,*,40%,8%,14%,5%
,2021,28%,28%,25%,29%,19%,40%,-,17%,*,27%,10%,17%,0%